overlay_gross_pct_of_cluster_mv,overlay_gross_dollars,annual_harvested_loss_yield_of_gross,annual_cost_pct_of_gross,illustrative_harvested_loss,tax_value_at_23_8pct_if_losses_used,estimated_annual_overlay_cost,illustrative_net_tax_value_before_alpha,breakeven_harvest_yield_at_23_8pct_tax_rate
1.0,8105462.07,0.1,0.03,810546.207,192909.997266,243163.8621,-50253.86483400001,0.12605042016806722
1.0,8105462.07,0.15,0.0075,1215819.3105,289364.995899,60790.965525,228574.03037399997,0.031512605042016806
1.0,8105462.07,0.15,0.015,1215819.3105,289364.995899,121581.93105,167783.06484899996,0.06302521008403361
1.0,8105462.07,0.15,0.03,1215819.3105,289364.995899,243163.8621,46201.133798999974,0.12605042016806722
1.5,12158193.105,0.03,0.0075,364745.79315,86809.49876969999,91186.4482875,-4376.949517800007,0.031512605042016806
1.5,12158193.105,0.03,0.015,364745.79315,86809.49876969999,182372.896575,-95563.3978053,0.06302521008403361
1.5,12158193.105,0.03,0.03,364745.79315,86809.49876969999,364745.79315,-277936.2943803,0.12605042016806722
1.5,12158193.105,0.05,0.0075,607909.6552500001,144682.49794950002,91186.4482875,53496.04966200002,0.031512605042016806
1.5,12158193.105,0.05,0.015,607909.6552500001,144682.49794950002,182372.896575,-37690.398625499976,0.06302521008403361
1.5,12158193.105,0.05,0.03,607909.6552500001,144682.49794950002,364745.79315,-220063.29520049997,0.12605042016806722
1.5,12158193.105,0.08,0.0075,972655.4484000001,231491.99671920002,91186.4482875,140305.54843170004,0.031512605042016806
1.5,12158193.105,0.08,0.015,972655.4484000001,231491.99671920002,182372.896575,49119.10014420003,0.06302521008403361
1.5,12158193.105,0.08,0.03,972655.4484000001,231491.99671920002,364745.79315,-133253.79643079996,0.12605042016806722
1.5,12158193.105,0.1,0.0075,1215819.3105000001,289364.99589900003,91186.4482875,198178.54761150002,0.031512605042016806
1.5,12158193.105,0.1,0.015,1215819.3105000001,289364.99589900003,182372.896575,106992.09932400004,0.06302521008403361
1.5,12158193.105,0.1,0.03,1215819.3105000001,289364.99589900003,364745.79315,-75380.79725099995,0.12605042016806722
1.5,12158193.105,0.15,0.0075,1823728.96575,434047.49384849996,91186.4482875,342861.04556099995,0.031512605042016806
