tax_rate_scenario,federal_ltcg_rate,niit_rate,state_rate,combined_tax_rate,sale_method,sale_pct,lots_touched,sale_value,basis_sold,realized_gain,effective_gain_pct_of_sale,realized_gain_pct_of_full_embedded_gain,estimated_tax,after_tax_sale_proceeds,harvested_losses_needed_to_fully_offset_gain,gross_overlay_needed_at_10pct_loss_yield,gross_overlay_needed_at_10pct_loss_yield_pct_of_concentrated_mv
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_combined,0.2,11,1621092.4139999999,64458.4683720649,1556633.9456279352,0.9602376349334613,0.19489114626312964,515245.8360028466,1105846.5779971532,1556633.9456279352,15566339.456279352,1.9204752698669223
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_combined,0.2,11,1621092.4139999999,64458.4683720649,1556633.9456279352,0.9602376349334613,0.19489114626312964,577511.193827964,1043581.2201720359,1556633.9456279352,15566339.456279352,1.9204752698669223
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_combined,0.25,11,2026365.5175,71790.92922739364,1954574.5882726065,0.9645715797039595,0.24471346204105085,390914.9176545213,1635450.5998454788,1954574.5882726065,19545745.882726062,2.4114289492598986
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_combined,0.25,11,2026365.5175,71790.92922739364,1954574.5882726065,0.9645715797039595,0.24471346204105085,465188.7520088803,1561176.7654911198,1954574.5882726065,19545745.882726062,2.4114289492598986
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_combined,0.25,11,2026365.5175,71790.92922739364,1954574.5882726065,0.9645715797039595,0.24471346204105085,646964.1887182328,1379401.3287817673,1954574.5882726065,19545745.882726062,2.4114289492598986
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_combined,0.25,11,2026365.5175,71790.92922739364,1954574.5882726065,0.9645715797039595,0.24471346204105085,725147.172249137,1301218.345250863,1954574.5882726065,19545745.882726062,2.4114289492598986
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_combined,0.3333333333333333,14,2701820.69,82617.46543721393,2619203.224562786,0.9694215586759705,0.3279252133520774,523840.6449125572,2177980.0450874427,2619203.224562786,26192032.245627858,3.231405195586568
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_combined,0.3333333333333333,14,2701820.69,82617.46543721393,2619203.224562786,0.9694215586759705,0.3279252133520774,623370.3674459431,2078450.322554057,2619203.224562786,26192032.245627858,3.231405195586568
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_combined,0.3333333333333333,14,2701820.69,82617.46543721393,2619203.224562786,0.9694215586759705,0.3279252133520774,866956.2673302823,1834864.4226697176,2619203.224562786,26192032.245627858,3.231405195586568
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_combined,0.3333333333333333,14,2701820.69,82617.46543721393,2619203.224562786,0.9694215586759705,0.3279252133520774,971724.3963127936,1730096.2936872062,2619203.224562786,26192032.245627858,3.231405195586568
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_combined,0.5,19,4052731.035,103431.69108125781,3949299.3439187426,0.9744785207337952,0.4944537399009789,789859.8687837486,3262871.1662162514,3949299.3439187426,39492993.43918742,4.872392603668975
